"","Term","Info1","Info2","Freq"
"20","。","記号","句点",329
"162","の","助詞","連体化",295
"129","て","助詞","接続助詞",288
"112","は","助詞","係助詞",268
"109","を","助詞","格助詞",247
"169","た","助動詞","*",215
"172","だ","助動詞","*",211
"99","に","助詞","格助詞",209
"90","が","助詞","格助詞",170
"252","する","動詞","自立",159
"94","と","助詞","格助詞",131
"22","、","記号","読点",123
"113","も","助詞","係助詞",93
"173","ない","助動詞","*",86
"1550","吾輩","名詞","代名詞",81
"549","いる","動詞","非自立",80
"93","で","助詞","格助詞",77
"163","ある","助動詞","*",60
"1563","の","名詞","非自立",54
"1566","もの","名詞","非自立",51
"35","ない","形容詞","自立",49
"1576","事","名詞","非自立",48
"1553","彼","名詞","代名詞",45
"18","「","記号","括弧開",42
"19","」","記号","括弧閉",42
"131","と","助詞","接続助詞",42
"107","へ","助詞","格助詞",41
"270","なる","動詞","自立",40
"1069","主人","名詞","一般",38
"1635","この","連体詞","*",38
"140","に","助詞","副詞化",37
"1637","その","連体詞","*",36
"124","が","助詞","接続助詞",33
"377","思う","動詞","自立",33
"155","か","助詞","副助詞／並立助詞／終助詞",32
"345","見る","動詞","自立",30
"175","ぬ","助動詞","*",28
"89","から","助詞","格助詞",27
"123","から","助詞","接続助詞",27
"106","の","助詞","格助詞",26
"1208","猫","名詞","一般",26
"226","ある","動詞","自立",25
"95","という","助詞","格助詞",24
"164","う","助動詞","*",23
"228","いう","動詞","自立",21
"547","れる","動詞","接尾",21
"1545","何","名詞","代名詞",21
"1568","よう","名詞","非自立",21
"941","眼","名詞","一般",19
"1123","人間","名詞","一般",19
"1535","これ","名詞","代名詞",19
"147","でも","助詞","副助詞",18
"158","と","助詞","並立助詞",18
"1021","黒","名詞","一般",18
"1122","人","名詞","一般",18
"188","しかし","接続詞","*",17
"293","云う","動詞","自立",17
"130","で","助詞","接続助詞",16
"167","ごとし","助動詞","*",16
"1451","一","名詞","数",16
"1577","時","名詞","非自立",16
"913","家","名詞","一般",15
"1580","上","名詞","非自立",15
"108","より","助詞","格助詞",14
"231","いる","動詞","自立",14
"956","教師","名詞","一般",14
"152","ばかり","助詞","副助詞",13
"154","まで","助詞","副助詞",13
"343","見える","動詞","自立",12
"401","出る","動詞","自立",12
"568","来る","動詞","非自立",12
"3","え","フィラー","*",11
"1125","水彩","名詞","一般",11
"1140","鼠","名詞","一般",11
"1435","車屋","名詞","固有名詞",11
"1548","君","名詞","代名詞",11
"145","だけ","助詞","副助詞",10
"943","顔","名詞","一般",10
"1088","書生","名詞","一般",10
"1454","三","名詞","数",10
"1474","画","名詞","接尾",10
"1587","方","名詞","非自立",10
"132","ながら","助詞","接続助詞",9
"135","ば","助詞","接続助詞",9
"148","など","助詞","副助詞",9
"156","たり","助詞","並立助詞",9
"174","なり","助動詞","*",9
"176","べし","助動詞","*",9
"235","おる","動詞","自立",9
"268","とる","動詞","自立",9
"404","出来る","動詞","自立",9
"414","食う","動詞","自立",9
"1603","今","名詞","副詞可能",9
"65","善い","形容詞","自立",8
"91","って","助詞","格助詞",8
"209","御","接頭詞","名詞接続",8
"213","小","接頭詞","名詞接続",8
"238","かく","動詞","自立",8
"418","寝る","動詞","自立",8
"501","聞く","動詞","自立",8
"546","られる","動詞","接尾",8
"561","やる","動詞","非自立",8
"658","時々","副詞","一般",8
"756","写生","名詞","サ変接続",8
"869","アンドレア・デル・サルト","名詞","一般",8
"1458","二","名詞","数",8
"1488","者","名詞","接尾",8
"1538","それ","名詞","代名詞",8
"1582","中","名詞","非自立",8
"1585","日","名詞","非自立",8
"142","くらい","助詞","副助詞",7
"181","る","助動詞","*",7
"182","ん","助動詞","*",7
"452","知る","動詞","自立",7
"500","分る","動詞","自立",7
"522","来る","動詞","自立",7
"555","くれる","動詞","非自立",7
"692","まだ","副詞","助詞類接続",7
"725","供","名詞","サ変接続",7
"808","放蕩","名詞","サ変接続",7
"919","画","名詞","一般",7
"1103","色","名詞","一般",7
"1227","美学","名詞","一般",7
"1322","例","名詞","一般",7
"1401","非常","名詞","形容動詞語幹",7
"1533","ここ","名詞","代名詞",7
"1551","誰","名詞","代名詞",7
"1555","僕","名詞","代名詞",7
"1562","ところ","名詞","非自立",7
"1579","所","名詞","非自立",7
"1643","大きな","連体詞","*",7
"9","なるほど","感動詞","*",6
"118","ね","助詞","終助詞",6
"153","ほど","助詞","副助詞",6
"171","たり","助動詞","*",6
"198","また","接続詞","*",6
"214","大","接頭詞","名詞接続",6
"225","あり","動詞","自立",6
"283","やる","動詞","自立",6
"379","至る","動詞","自立",6
"490","這入る","動詞","自立",6
"675","あまり","副詞","助詞類接続",6
"684","そう","副詞","助詞類接続",6
"700","少し","副詞","助詞類接続",6
"739","御馳走","名詞","サ変接続",6
"783","昼寝","名詞","サ変接続",6
"864","め","名詞","一般",6
"1164","池","名詞","一般",6
"1175","通人","名詞","一般",6
"1464","そう","名詞","接尾",6
"1465","たち","名詞","接尾",6
"1473","家","名詞","接尾",6
"1481","君","名詞","接尾",6
"1508","日","名詞","接尾",6
"1539","どこ","名詞","代名詞",6
"1554","彼等","名詞","代名詞",6
"1561","とき","名詞","非自立",6
"1604","今日","名詞","副詞可能",6
"38","よい","形容詞","自立",5
"40","悪い","形容詞","自立",5
"97","として","助詞","格助詞",5
"116","ぜ","助詞","終助詞",5
"143","じゃ","助詞","副助詞",5
"170","たい","助動詞","*",5
"179","らしい","助動詞","*",5
"180","り","助動詞","*",5
"202","第","接頭詞","数接続",5
"261","つく","動詞","自立",5
"287","逢う","動詞","自立",5
"318","帰る","動詞","自立",5
"362","行く","動詞","自立",5
"400","出す","動詞","自立",5
"474","得る","動詞","自立",5
"489","這う","動詞","自立",5
"567","得る","動詞","非自立",5
"635","よく","副詞","一般",5
"667","到底","副詞","一般",5
"680","こう","副詞","助詞類接続",5
"686","どう","副詞","助詞類接続",5
"699","少々","副詞","助詞類接続",5
"703","必ず","副詞","助詞類接続",5
"716","感心","名詞","サ変接続",5
"723","記憶","名詞","サ変接続",5
"819","話","名詞","サ変接続",5
"828","仕方","名詞","ナイ形容詞語幹",5
"836","うち","名詞","一般",5
"883","胃弱","名詞","一般",5
"947","気","名詞","一般",5
"1065","自分","名詞","一般",5
"1087","書斎","名詞","一般",5
"1252","癖","名詞","一般",5
"1288","野郎","名詞","一般",5
"1311","裏","名詞","一般",5
"1400","馬鹿","名詞","形容動詞語幹",5
"1455","四","名詞","数",5
"1494","人","名詞","接尾",5
"1549","己","名詞","代名詞",5
"1557","うち","名詞","非自立",5
"1636","こんな","連体詞","*",5
"1","あ","フィラー","*",4
"17","○","記号","一般",4
"121","よ","助詞","終助詞",4
"136","ものの","助詞","接続助詞",4
"139","と","助詞","副詞化",4
"160","や","助詞","並立助詞",4
"218","無","接頭詞","名詞接続",4
"239","かける","動詞","自立",4
"291","飲む","動詞","自立",4
"306","廻る","動詞","自立",4
"328","泣く","動詞","自立",4
"339","繰り返す","動詞","自立",4
"350","言う","動詞","自立",4
"383","持つ","動詞","自立",4
"412","上る","動詞","自立",4
"427","吹く","動詞","自立",4
"472","動く","動詞","自立",4
"476","読む","動詞","自立",4
"533","話す","動詞","自立",4
"545","せる","動詞","接尾",4
"556","しまう","動詞","非自立",4
"563","行く","動詞","非自立",4
"573","いくら","副詞","一般",4
"582","ことに","副詞","一般",4
"614","どうも","副詞","一般",4
"638","暗に","副詞","一般",4
"653","決して","副詞","一般",4
"660","実に","副詞","一般",4
"683","しばらく","副詞","助詞類接続",4
"685","ちょっと","副詞","助詞類接続",4
"691","また","副詞","助詞類接続",4
"831","あと","名詞","一般",4
"911","下","名詞","一般",4
"939","感じ","名詞","一般",4
"968","金縁","名詞","一般",4
"1018","考","名詞","一般",4
"1033","最後","名詞","一般",4
"1130","声","名詞","一般",4
"1137","先","名詞","一般",4
"1154","大","名詞","一般",4
"1155","大王","名詞","一般",4
"1166","茶","名詞","一般",4
"1195","頭","名詞","一般",4
"1204","日記","名詞","一般",4
"1244","腹","名詞","一般",4
"1266","夢","名詞","一般",4
"1271","名前","名詞","一般",4
"1278","毛","名詞","一般",4
"1336","椽側","名詞","一般",4
"1399","熱心","名詞","形容動詞語幹",4
"1423","おさん","名詞","固有名詞",4
"1459","百","名詞","数",4
"1524","毛","名詞","接尾",4
"1530","いつ","名詞","代名詞",4
"1556","そう","名詞","特殊",4
"1560","つもり","名詞","非自立",4
"1574","後","名詞","非自立",4
"1592","その後","名詞","副詞可能",4
"1616","前","名詞","副詞可能",4
"1628","夜","名詞","副詞可能",4
"1638","そんな","連体詞","*",4
"16","―","記号","一般",3
"44","寒い","形容詞","自立",3
"49","強い","形容詞","自立",3
"54","好い","形容詞","自立",3
"69","大きい","形容詞","自立",3
"78","美しい","形容詞","自立",3
"82","面白い","形容詞","自立",3
"111","さえ","助詞","係助詞",3
"115","さ","助詞","終助詞",3
"159","とか","助詞","並立助詞",3
"187","さて","接続詞","*",3
"190","すると","接続詞","*",3
"196","ところが","接続詞","*",3
"200","実は","接続詞","*",3
"263","つける","動詞","自立",3
"282","やめる","動詞","自立",3
"359","考える","動詞","自立",3
"367","坐る","動詞","自立",3
"399","住む","動詞","自立",3
"409","笑う","動詞","自立",3
"413","乗る","動詞","自立",3
"454","置く","動詞","自立",3
"456","眺める","動詞","自立",3
"469","投げ出す","動詞","自立",3
"488","這い出す","動詞","自立",3
"496","評す","動詞","自立",3
"498","付く","動詞","自立",3
"503","捕る","動詞","自立",3
"513","鳴らす","動詞","自立",3
"536","抛り出す","動詞","自立",3
"543","がる","動詞","接尾",3
"570","あたかも","副詞","一般",3
"584","さすが","副詞","一般",3
"587","しかるに","副詞","一般",3
"611","どうしても","副詞","一般",3
"613","どうにか","副詞","一般",3
"628","もう","副詞","一般",3
"629","もし","副詞","一般",3
"633","やはり","副詞","一般",3
"634","ようやく","副詞","一般",3
"640","一向","副詞","一般",3
"698","実際","副詞","助詞類接続",3
"710","加減","名詞","サ変接続",3
"711","我慢","名詞","サ変接続",3
"712","我儘","名詞","サ変接続",3
"721","関","名詞","サ変接続",3
"734","決心","名詞","サ変接続",3
"833","いくら","名詞","一般",3
"918","我","名詞","一般",3
"932","額","名詞","一般",3
"940","間","名詞","一般",3
"942","眼鏡","名詞","一般",3
"948","気焔","名詞","一般",3
"957","胸","名詞","一般",3
"980","穴","名詞","一般",3
"1010","口","名詞","一般",3
"1063","耳","名詞","一般",3
"1067","質","名詞","一般",3
"1071","手","名詞","一般",3
"1093","小説","名詞","一般",3
"1095","掌","名詞","一般",3
"1098","冗談","名詞","一般",3
"1111","心持","名詞","一般",3
"1142","相手","名詞","一般",3
"1147","他","名詞","一般",3
"1149","体","名詞","一般",3
"1153","台所","名詞","一般",3
"1159","男","名詞","一般",3
"1167","茶園","名詞","一般",3
"1174","通り","名詞","一般",3
"1216","背中","名詞","一般",3
"1226","皮膚","名詞","一般",3
"1229","鼻","名詞","一般",3
"1246","物","名詞","一般",3
"1261","棒","名詞","一般",3
"1262","本","名詞","一般",3
"1298","余念","名詞","一般",3
"1305","謡","名詞","一般",3
"1353","いや","名詞","形容動詞語幹",3
"1367","気の毒","名詞","形容動詞語幹",3
"1377","自然","名詞","形容動詞語幹",3
"1403","不思議","名詞","形容動詞語幹",3
"1406","平気","名詞","形容動詞語幹",3
"1446","白","名詞","固有名詞",3
"1453","五","名詞","数",3
"1456","十","名詞","数",3
"1471","屋","名詞","接尾",3
"1507","内","名詞","接尾",3
"1529","あれ","名詞","代名詞",3
"1544","みんな","名詞","代名詞",3
"1552","奴","名詞","代名詞",3
"1570","以外","名詞","非自立",3
"1591","せんだって","名詞","副詞可能",3
"1597","一番","名詞","副詞可能",3
"1601","結果","名詞","副詞可能",3
"1602","元来","名詞","副詞可能",3
"1606","事実","名詞","副詞可能",3
"1614","昔","名詞","副詞可能",3
"1626","毎日","名詞","副詞可能",3
"1630","翌日","名詞","副詞可能",3
"5","あ","感動詞","*",2
"12","へえ","感動詞","*",2
"15","々","記号","一般",2
"26","うまい","形容詞","自立",2
"29","おとなしい","形容詞","自立",2
"37","むずかしい","形容詞","自立",2
"39","わるい","形容詞","自立",2
"45","甘い","形容詞","自立",2
"56","酷い","形容詞","自立",2
"59","臭い","形容詞","自立",2
"68","多い","形容詞","自立",2
"70","淡い","形容詞","自立",2
"71","暖かい","形容詞","自立",2
"81","明るい","形容詞","自立",2
"83","余儀ない","形容詞","自立",2
"88","よい","形容詞","非自立",2
"110","をもって","助詞","格助詞",2
"117","な","助詞","終助詞",2
"119","ねえ","助詞","終助詞",2
"127","たって","助詞","接続助詞",2
"128","つつ","助詞","接続助詞",2
"133","ので","助詞","接続助詞",2
"134","のに","助詞","接続助詞",2
"141","かも","助詞","副助詞",2
"150","なんか","助詞","副助詞",2
"157","だり","助詞","並立助詞",2
"177","まい","助動詞","*",2
"184","いや","接続詞","*",2
"189","しかも","接続詞","*",2
"195","ただ","接続詞","*",2
"212","自","接頭詞","名詞接続",2
"216","不","接頭詞","名詞接続",2
"227","あるく","動詞","自立",2
"233","える","動詞","自立",2
"243","くる","動詞","自立",2
"249","さる","動詞","自立",2
"253","せる","動詞","自立",2
"257","たつ","動詞","自立",2
"278","ぶら下げる","動詞","自立",2
"279","もぐり込む","動詞","自立",2
"288","違う","動詞","自立",2
"308","覚める","動詞","自立",2
"312","感ずる","動詞","自立",2
"317","棄てる","動詞","自立",2
"344","見せる","動詞","自立",2
"348","見付ける","動詞","自立",2
"349","減る","動詞","自立",2
"354","交ぜる","動詞","自立",2
"355","向う","動詞","自立",2
"366","困る","動詞","自立",2
"375","始める","動詞","自立",2
"385","写す","動詞","自立",2
"393","受ける","動詞","自立",2
"398","住み込む","動詞","自立",2
"405","書く","動詞","自立",2
"411","上げる","動詞","自立",2
"420","心付く","動詞","自立",2
"431","生れる","動詞","自立",2
"433","切る","動詞","自立",2
"437","掻く","動詞","自立",2
"442","足す","動詞","自立",2
"445","打つ","動詞","自立",2
"453","知れる","動詞","自立",2
"467","怒る","動詞","自立",2
"471","答える","動詞","自立",2
"477","入る","動詞","自立",2
"478","入れる","動詞","自立",2
"491","抜ける","動詞","自立",2
"493","肥る","動詞","自立",2
"494","飛び出す","動詞","自立",2
"499","付ける","動詞","自立",2
"504","暮す","動詞","自立",2
"517","有す","動詞","自立",2
"527","立つ","動詞","自立",2
"537","抛る","動詞","自立",2
"541","籠る","動詞","自立",2
"548","ある","動詞","非自立",2
"550","える","動詞","非自立",2
"553","く","動詞","非自立",2
"557","てる","動詞","非自立",2
"559","なる","動詞","非自立",2
"565","始める","動詞","非自立",2
"566","出す","動詞","非自立",2
"588","しきりに","副詞","一般",2
"592","すでに","副詞","一般",2
"596","そんなに","副詞","一般",2
"597","たしかに","副詞","一般",2
"600","ちっと","副詞","一般",2
"601","ちっとも","副詞","一般",2
"604","ついに","副詞","一般",2
"612","どうせ","副詞","一般",2
"617","のそのそ","副詞","一般",2
"618","はなはだ","副詞","一般",2
"621","ふと","副詞","一般",2
"624","まず","副詞","一般",2
"625","まるで","副詞","一般",2
"630","もっとも","副詞","一般",2
"641","一体","副詞","一般",2
"646","何とか","副詞","一般",2
"654","元来","副詞","一般",2
"674","毫も","副詞","一般",2
"679","いろいろ","副詞","助詞類接続",2
"681","これから","副詞","助詞類接続",2
"687","なかなか","副詞","助詞類接続",2
"688","なるべく","副詞","助詞類接続",2
"697","再び","副詞","助詞類接続",2
"704","別段","副詞","助詞類接続",2
"717","感服","名詞","サ変接続",2
"733","欠伸","名詞","サ変接続",2
"750","自慢","名詞","サ変接続",2
"755","質問","名詞","サ変接続",2
"762","小便","名詞","サ変接続",2
"767","想像","名詞","サ変接続",2
"773","増長","名詞","サ変接続",2
"782","忠告","名詞","サ変接続",2
"784","注意","名詞","サ変接続",2
"787","珍重","名詞","サ変接続",2
"795","発達","名詞","サ変接続",2
"805","勉強","名詞","サ変接続",2
"809","訪問","名詞","サ変接続",2
"813","猶予","名詞","サ変接続",2
"825","邂逅","名詞","サ変接続",2
"840","かく","名詞","一般",2
"846","けら","名詞","一般",2
"854","ただ","名詞","一般",2
"872","タカジヤスターゼ","名詞","一般",2
"875","ニャー","名詞","一般",2
"898","雨","名詞","一般",2
"899","運","名詞","一般",2
"900","英文","名詞","一般",2
"906","奥","名詞","一般",2
"908","黄","名詞","一般",2
"912","下女","名詞","一般",2
"920","画家","名詞","一般",2
"923","灰色","名詞","一般",2
"924","絵","名詞","一般",2
"926","垣","名詞","一般",2
"929","学校","名詞","一般",2
"930","学生","名詞","一般",2
"977","芸者","名詞","一般",2
"981","月","名詞","一般",2
"989","言葉","名詞","一般",2
"992","枯菊","名詞","一般",2
"999","後架","名詞","一般",2
"1003","語","名詞","一般",2
"1004","交番","名詞","一般",2
"1011","向う","名詞","一般",2
"1025","左","名詞","一般",2
"1030","座敷","名詞","一般",2
"1035","妻君","名詞","一般",2
"1040","笹原","名詞","一般",2
"1047","姿","名詞","一般",2
"1058","資格","名詞","一般",2
"1059","事件","名詞","一般",2
"1064","自己","名詞","一般",2
"1078","宗","名詞","一般",2
"1090","女","名詞","一般",2
"1092","小春","名詞","一般",2
"1107","尻","名詞","一般",2
"1118","神経","名詞","一般",2
"1121","辛","名詞","一般",2
"1128","性質","名詞","一般",2
"1136","雪隠","名詞","一般",2
"1138","先生","名詞","一般",2
"1150","体格","名詞","一般",2
"1152","袋","名詞","一般",2
"1178","亭主","名詞","一般",2
"1181","邸","名詞","一般",2
"1185","天","名詞","一般",2
"1193","当人","名詞","一般",2
"1201","日","名詞","一般",2
"1209","年","名詞","一般",2
"1210","念","名詞","一般",2
"1214","俳句","名詞","一般",2
"1220","畠","名詞","一般",2
"1225","皮","名詞","一般",2
"1230","疋","名詞","一般",2
"1236","不徳","名詞","一般",2
"1241","風","名詞","一般",2
"1247","文学","名詞","一般",2
"1249","平気","名詞","一般",2
"1251","壁","名詞","一般",2
"1283","目","名詞","一般",2
"1292","勇気","名詞","一般",2
"1293","友","名詞","一般",2
"1301","容子","名詞","一般",2
"1310","理窟","名詞","一般",2
"1318","輪","名詞","一般",2
"1324","歴史","名詞","一般",2
